RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
86	Votto, J	CIN	1B	142	525	79	137	32	1	15	47	76	123	5	0	0.261	0.357	0.411	0.768
87	Galvis, F	CIN	SS	147	557	67	145	28	1	23	70	28	145	4	2	0.26	0.296	0.438	0.734
88	Harper, B	PHI	RF	157	573	98	149	36	1	35	114	99	178	15	3	0.26	0.372	0.51	0.882
89	Jones, A	ARI	RF	137	485	66	126	25	1	16	67	31	101	2	1	0.26	0.313	0.414	0.728
90	Cain, L	MIL	CF	148	562	75	146	30	0	11	48	50	106	18	8	0.26	0.325	0.372	0.697
91	Alonso, P	NYM	1B	161	597	103	155	30	2	53	120	72	183	1	0	0.26	0.358	0.583	0.941
91	Goldschmidt, P	STL	1B	161	597	97	155	25	1	34	97	78	166	3	1	0.26	0.346	0.476	0.821
93	Cabrera, A	WSH	3B	131	447	69	116	25	1	18	91	57	103	4	0	0.26	0.342	0.441	0.783
94	Walker, C	ARI	1B	152	529	86	137	26	1	29	73	67	155	8	1	0.259	0.348	0.476	0.825
95	Donaldson, J	ATL	3B	155	549	96	142	33	0	37	94	100	155	4	2	0.259	0.379	0.521	0.9
96	Pillar, K	SF	CF	161	611	83	158	37	3	21	88	18	89	14	5	0.259	0.287	0.432	0.719
97	Conforto, M	NYM	RF	151	549	90	141	29	1	33	92	84	149	7	2	0.257	0.363	0.494	0.856
98	Machado, M	SD	SS	156	587	81	150	21	2	32	85	65	128	5	3	0.256	0.334	0.462	0.796
99	Ramirez, J	CLE	3B	129	482	68	123	33	3	23	83	52	74	24	4	0.255	0.327	0.479	0.806
100	Robles, V	WSH	CF	155	546	86	139	33	3	17	65	35	140	28	9	0.255	0.326	0.419	0.745
101	Moustakas, M	MIL	2B	143	523	80	133	30	1	35	87	53	98	3	0	0.254	0.329	0.516	0.845
102	Adames, W	TB	SS	152	531	69	135	25	1	20	52	46	153	4	2	0.254	0.317	0.418	0.735
103	Longoria, E	SF	3B	129	453	59	115	19	2	20	69	43	112	3	1	0.254	0.325	0.437	0.762
104	Ahmed, N	ARI	SS	158	556	79	141	33	6	19	82	52	113	8	2	0.254	0.316	0.437	0.753
105	Santana, D	SEA	LF	121	451	63	114	20	1	21	69	50	164	8	3	0.253	0.329	0.441	0.77
106	Sanchez, Y	CWS	2B	149	496	59	125	20	4	2	43	44	117	5	4	0.252	0.318	0.321	0.638
107	Kepler, M	MIN	RF	134	524	98	132	32	0	36	90	60	99	1	5	0.252	0.336	0.519	0.855
108	Heyward, J	CHC	RF	147	513	78	129	20	4	21	62	68	110	8	3	0.251	0.343	0.429	0.772
109	Swanson, D	ATL	SS	127	483	77	121	26	3	17	65	51	124	10	5	0.251	0.325	0.422	0.748
110	Muncy, M	LAD	1B	141	487	101	122	22	1	35	98	90	149	4	1	0.251	0.374	0.515	0.889
111	Gardner, B	NYY	CF	141	491	86	123	26	7	28	74	52	108	10	2	0.251	0.325	0.503	0.829
112	McMahon, R	COL	2B	141	480	70	120	22	1	24	83	56	160	5	1	0.25	0.329	0.45	0.779
113	Schwarber, K	CHC	LF	155	529	82	132	29	3	38	92	70	156	2	3	0.25	0.339	0.531	0.871
114	Reyes, F	CLE	RF	150	494	69	123	19	0	37	81	47	156	0	0	0.249	0.31	0.512	0.822
115	Pederson, J	LAD	LF	149	450	83	112	16	3	36	74	50	111	1	1	0.249	0.339	0.538	0.876
116	Chapman, M	OAK	3B	156	583	102	145	36	3	36	91	73	147	1	1	0.249	0.342	0.506	0.848
117	Grandal, Y	MIL	C	153	513	79	126	26	2	28	77	109	139	5	1	0.246	0.38	0.468	0.848
118	Kipnis, J	CLE	2B	121	458	52	112	23	1	17	65	40	88	7	2	0.245	0.304	0.41	0.715
119	Pujols, A	LAA	1B	131	491	55	120	22	0	23	93	43	68	3	0	0.244	0.305	0.43	0.734
120	Nunez, R	BAL	3B	151	541	72	132	24	0	31	90	44	143	1	1	0.244	0.311	0.46	0.771
121	Ozuna, M	STL	LF	130	485	80	117	23	1	29	89	62	114	12	2	0.241	0.328	0.472	0.8
122	Fowler, D	STL	RF	150	487	69	116	24	1	19	67	74	142	8	5	0.238	0.346	0.409	0.754
123	Belt, B	SF	1B	156	526	76	123	32	3	17	57	83	127	4	3	0.234	0.339	0.403	0.742
124	DeJong, P	STL	SS	159	583	97	136	31	1	30	78	62	149	9	5	0.233	0.318	0.444	0.762
125	Grichuk, R	TOR	CF	151	586	75	136	29	5	31	80	35	163	2	1	0.232	0.28	0.457	0.738
126	Calhoun, K	LAA	RF	152	552	92	128	29	1	33	74	70	162	4	1	0.232	0.325	0.467	0.792
127	Crawford, B	SF	SS	147	500	58	114	24	2	11	59	53	117	3	2	0.228	0.304	0.35	0.654
128	Smith, M	SEA	CF	134	510	70	116	19	9	6	37	42	141	46	9	0.227	0.3	0.335	0.635
129	Hoskins, R	PHI	1B	160	570	86	129	33	5	29	85	116	173	2	2	0.226	0.364	0.454	0.819
130	Bradley Jr., J	BOS	CF	147	494	69	111	28	3	21	62	56	155	8	6	0.225	0.317	0.421	0.738
131	Arcia, O	MIL	SS	152	494	51	110	16	1	15	59	43	109	8	5	0.223	0.283	0.35	0.633
132	Davis, K	OAK	LF	133	481	61	106	11	0	23	73	47	146	0	0	0.22	0.293	0.387	0.679
133	Profar, J	OAK	2B	139	459	65	100	24	2	20	67	48	75	9	1	0.218	0.301	0.41	0.711
134	Vogelbach, D	SEA	1B	144	462	73	96	17	0	30	76	92	149	0	0	0.208	0.341	0.439	0.78
135	Odor, R	TEX	2B	145	522	77	107	30	1	30	93	52	178	11	9	0.205	0.283	0.439	0.721
